,product_id,product_name,description,price,consumer_description
0,37162,Canon PIXMA Photo All-In-One Printer - MP620,"Canon PIXMA Photo All-In-One Printer - MP620/ High Performance Printer And Copier, Scanner/ Easy Scroll Wheel/ Dual Paper Trays/ 2.5' High Definition LCD Display/ Maximum 9600 x 2400 Color Dpi/ Automatic Image Optimization/ Quick Start/ Wi-Fi Ready/ Built-In Media Card Slot/ ENERGY STAR Qualified",$149.00,"The Canon PIXMA Photo All-In-One Printer - MP620 is a versatile and user-friendly printer designed for consumers who want high-quality photo printing at home. It features wireless connectivity, allowing you to easily print photos and documents from your computer, smartphone, or tablet. The printer is equipped with five individual ink tanks that produce vibrant and true-to-life colors, ensuring your photos look stunning. It also offers fast printing speeds and a high-resolution scanner, making it convenient for everyday home office use. The Canon PIXMA MP620 is the perfect choice for anyone who wants exceptional photo printing capabilities in a compact and easy-to-use package."
1,37174,TiVo HD XL Black Digital Video Recorder - TCD658000,"TiVo HD XL Black Digital Video Recorder - TCD658000/ Search, Record And Watch Shows In HD/ Save Up To 150 Hours Of HD Programming At A Time/ Control Cable TV With Pause, Rewind, Fast-Forward, And Slow-Motion/ Record Two Shows At Once In HD/ Digital Transition Ready/ Backlit Remote Control/ Netflix Instant Streaming/ TiVo Service Required And Sold Separately",$599.00,"The TiVo HD XL Black Digital Video Recorder is an advanced device designed to revolutionize your television viewing experience. With its sleek black design, it seamlessly integrates with your home entertainment setup. The HD XL allows you to record and store your favorite shows and movies, giving you the flexibility to watch them whenever it suits you. Its high-definition capabilities ensure crystal-clear picture quality, offering an immersive viewing experience. The TiVo also includes various user-friendly features, such as easy-to-navigate menus, the ability to pause, rewind, and fast forward live TV, and a vast library of on-demand content. With the TiVo HD XL, you can take control of your entertainment and never miss a moment of your favorite shows."
2,37181,Apple 8GB Black 2nd Generation iPod Touch - MB528LLA,"Apple 8GB Black 2nd Generation iPod Touch - MB528LLA/ Holds Up To 1,750 Songs In 128-Kbps AAC Format, 10,000 iPod-Viewable Photos And 10 Hours Of Video/ Wi-Fi (802.11b/g)/ Nike + iPod Support Built-In/ Maps Location-Based Service/ 3.5' (Diagonal) Widescreen Multi-Touch Display/ 480x320-Pixel Resolution/ 480p And 576p Component TV Out/ Mac And Windows Compatible/ Black Finish",$229.00,"The Apple 8GB Black 2nd Generation iPod Touch (MB528LLA) is a sleek and compact multimedia device that combines music player, video player, and internet browsing capabilities into one stylish gadget. With its 8GB storage capacity, it allows you to store and play all your favorite songs, videos, and podcasts. The 2nd generation iPod Touch features a brilliant 3.5-inch touchscreen display for easy navigation and a built-in Wi-Fi connection that enables you to browse the web, download apps, and stay connected on social media platforms. It also includes a 2-megapixel camera for capturing photos and recording videos. Whether you want to listen to music on the go, watch videos, or browse the internet, the iPod Touch offers a convenient and enjoyable entertainment experience."
3,37182,Apple 16GB Black 2nd Generation iPod Touch - MB531LLA,"Apple 16GB Black 2nd Generation iPod Touch - MB531LLA/ Holds Up To 3,500 Songs In 128-Kbps AAC Format, 20,000 iPod-Viewable Photos And 20 Hours Of Video/ Wi-Fi (802.11b/g)/ Nike + iPod Support Built-In/ Maps Location-Based Service/ 3.5' (Diagonal) Widescreen Multi-Touch Display/ 480x320-Pixel Resolution/ 480p And 576p Component TV Out/ Mac And Windows Compatible/ Black Finish",$299.00,"The Apple 16GB Black 2nd Generation iPod Touch (MB531LLA) is a sleek and compact device that combines the features of a music player, a gaming console, and a portable internet device. With its 16GB storage capacity, you can store thousands of songs, videos, and apps. The iPod Touch allows you to enjoy high-quality audio and video playback, browse the internet, and download various applications from the App Store. Its 3.5-inch multi-touch display offers a vibrant and intuitive interface for easy navigation and control. Whether you're a music lover, a gamer, or someone who wants to stay connected on the go, the iPod Touch is an ideal gadget for entertainment and convenience."
4,37183,Apple 32GB Black 2nd Generation iPod Touch - MB533LLA,"Apple 32GB Black 2nd Generation iPod Touch - MB533LLA/ Holds Up To 7,000 Songs In 128-Kbps AAC Format, 25,000 iPod-Viewable Photos And 40 Hours Of Video/ Wi-Fi (802.11b/g)/ Nike + iPod Support Built-In/ Maps Location-Based Service/ 3.5' (Diagonal) Widescreen Multi-Touch Display/ 480x320-Pixel Resolution/ 480p And 576p Component TV Out/ Mac And Windows Compatible/ Black Finish",$399.00,"The Apple 32GB Black 2nd Generation iPod Touch - MB533LLA is a portable media player that allows you to enjoy music, videos, games, and more on-the-go. With its sleek black design and compact size, you can easily slip it into your pocket or bag. It has a generous 32GB storage capacity, providing ample space to store your favorite songs, photos, and apps. The iPod Touch also features a vibrant 3.5-inch display for an immersive viewing experience. Plus, with Wi-Fi connectivity, you can stream music and browse the internet effortlessly. Whether you're a music lover or a gaming enthusiast, this iPod Touch offers a convenient and high-quality entertainment experience."
5,37187,Apple 8GB Silver 4th Generation iPod Nano - MB598LLA,"Apple 8GB Silver 4th Generation iPod Nano - MB598LLA/ Holds Up To 2,000 Songs In 128-Kbps AAC Format, 7,000 iPod-Viewable Photos And 8 Hours Of Video/ 2' (Diagonal) Liquid Crystal Display With Blue-White LED Backlight/ 320-By-240-Pixel Resolution/ Give It A Shake To Shuffle Your Music/ Turn It Sideways To View Cover Flow/ Mac And Windows Compatible/ Silver Finish",$144.00,"The Apple 8GB Silver 4th Generation iPod Nano – MB598LLA is a sleek and compact portable music player designed to bring your music collection wherever you go. With its 8GB storage capacity, you can store thousands of songs, podcasts, and audiobooks. The silver color adds a touch of elegance to its appearance, and its 4th generation design ensures a user-friendly experience. The iPod Nano features a vibrant 2-inch display for easy navigation and playback control, and it also supports FM radio, making it perfect for tuning in to your favorite stations on the go. Its long battery life allows for hours of uninterrupted music enjoyment, and its sleek and lightweight design makes it perfect for slipping into your pocket or bag. Whether you're on a run, commuting, or simply relaxing, the Apple 8GB Silver 4th Generation iPod Nano is your reliable companion for all your music needs."
6,37192,Apple 8GB Blue 4th Generation iPod Nano - MB732LLA,"Apple 8GB Blue 4th Generation iPod Nano - MB732LLA/ Holds Up To 2,000 Songs In 128-Kbps AAC Format, 7,000 iPod-Viewable Photos And 8 Hours Of Video/ 2' (Diagonal) Liquid Crystal Display With Blue-White LED Backlight/ 320-By-240-Pixel Resolution/ Give It A Shake To Shuffle Your Music/ Turn It Sideways To View Cover Flow/ Mac And Windows Compatible/ Blue Finish",$149.00,"The Apple 8GB Blue 4th Generation iPod Nano - MB732LLA is a stylish and portable music player that lets you listen to your favorite songs on the go. With its sleek design and vibrant blue color, it is visually appealing. Its 8GB storage capacity allows you to store thousands of songs, providing hours of entertainment. The 4th Generation Nano features a small and lightweight design, making it easy to carry in your pocket or clip onto your clothes. Additionally, it has a user-friendly interface and a crisp display that makes navigating through your music library a breeze. Whether you're at the gym, commuting, or relaxing at home, this iPod Nano is the perfect companion for music lovers."
7,37196,Apple 8GB Pink 4th Generation iPod Nano - MB735LLA,"Apple 8GB Pink 4th Generation iPod Nano - MB735LLA/ Holds Up To 2,000 Songs In 128-Kbps AAC Format, 7,000 iPod-Viewable Photos And 8 Hours Of Video/ 2' (Diagonal) Liquid Crystal Display With Blue-White LED Backlight/ 320-By-240-Pixel Resolution/ Give It A Shake To Shuffle Your Music/ Turn It Sideways To View Cover Flow/ Mac And Windows Compatible/ Pink Finish",$144.00,"The Apple 8GB Pink 4th Generation iPod Nano, model number MB735LLA, is a sleek and compact portable music player designed for consumers who want to carry their favorite tunes with them at all times. This iPod Nano features a vibrant pink color, perfect for those who want to make a style statement. With its generous 8GB storage capacity, it can hold up to 2,000 songs, allowing users to create personalized playlists. The 4th Generation iPod Nano also comes equipped with a crisp and clear 2-inch display, making it easy to navigate through the user-friendly interface and view album artwork. Furthermore, it supports various audio formats, podcasts, and audiobooks, ensuring a versatile audio experience for individuals on the go. Overall, the Apple 8GB Pink 4th Generation iPod Nano provides a stylish and practical solution for music enthusiasts who want to enjoy their favorite tracks anywhere, anytime."
8,37198,Apple 8GB Purple 4th Generation iPod Nano - MB739LLA,"Apple 8GB Purple 4th Generation iPod Nano - MB739LLA/ Holds Up To 2,000 Songs In 128-Kbps AAC Format, 7,000 iPod-Viewable Photos And 8 Hours Of Video/ 2' (Diagonal) Liquid Crystal Display With Blue-White LED Backlight/ 320-By-240-Pixel Resolution/ Give It A Shake To Shuffle Your Music/ Turn It Sideways To View Cover Flow/ Mac And Windows Compatible/ Purple Finish",$149.00,"The Apple 8GB Purple 4th Generation iPod Nano - MB739LLA is a sleek and compact portable music player that allows you to carry your favorite music wherever you go. With its 8GB storage capacity, it can hold a large number of songs, ensuring you never run out of entertainment. The elegant purple design adds a touch of style to your music experience. The iPod Nano features a color display that allows you to easily navigate through your music library and view album artwork. You can also enjoy other features like FM radio, games, and podcasts. It is the perfect companion for music lovers on the move."
9,37201,Apple 16GB Green 4th Generation iPod Nano - MB913LLA,"Apple 16GB Green 4th Generation iPod Nano - MB913LLA/ Holds Up To 4,000 Songs In 128-Kbps AAC Format, 14,000 iPod-Viewable Photos And 16 Hours Of Video/ 2' (Diagonal) Liquid Crystal Display With Blue-White LED Backlight/ 320-By-240-Pixel Resolution/ Give It A Shake To Shuffle Your Music/ Turn It Sideways To View Cover Flow/ Mac And Windows Compatible/ Green Finish",,"The Apple 16GB Green 4th Generation iPod Nano (MB913LLA) is a compact and stylish portable music player. With its 16GB storage capacity, it can store a vast collection of songs, podcasts, and audiobooks. The vibrant green color adds a pop of personality to the sleek design. Its 2-inch color display allows for easy navigation, and with simple touch controls, users can easily play, pause, skip, or shuffle their music. The iPod Nano also features a built-in FM radio and Nike+ support, making it a versatile device for music enthusiasts and fitness enthusiasts alike. With its long battery life, it ensures hours of uninterrupted music enjoyment. Overall, the Apple 16GB Green 4th Generation iPod Nano is a reliable and fashionable companion for anyone looking for a portable and feature-rich music player."
